Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected Joining Score (1-1000)
Chennai,45,Medium,Project Manager,Lead,1,567491,2215111,PhD,"JavaScript, React",PMP,31,5,Night,Yes,Hybrid,Infosys,Consulting,Positive,2,Low,985593,226194,Average,Entry-Level,Team Lead,Kolkata,No,Flexible Hours,Limited,Weak,Moderate,2024-12-15 14:11:33.008200,Clear,192.85309999999998
Delhi,23,Medium,Project Manager,Mid-Level,4,789066,2051143,Diploma,"C++, Algorithms",Scrum Master,85,3,Flexible,No,Hybrid,Infosys,IT Services,Positive,1,Low,2116548,366930,Average,Lead,Team Lead,Delhi,Yes,Flexible Hours,Excellent,Strong,Moderate,2024-12-11 14:11:33.008200,Clear,274.5516
Delhi,16,Medium,Data Scientist,Senior-Level,4,958003,591420,Diploma,"Python, SQL, ML",None,69,9,Night,Yes,Offline,Cognizant,Healthcare,Neutral,8,Moderate,1158201,398550,Above Average,Lead,Manager,Pune,Yes,Flexible Hours,Excellent,Stable,Moderate,2025-01-15 14:11:33.008200,Clear,216.6067
Darbhanga,13,Medium,Project Manager,Mid-Level,7,602929,1110644,Bachelor's Degree,"Java, Spring Boot",PMP,34,5,Night,Yes,Hybrid,Infosys,Banking,Negative,0,Moderate,609699,193011,Above Average,Mid-Level,Manager,Chennai,Yes,Flexible Hours,Moderate,Strong,Moderate,2024-12-17 14:11:33.008200,Ambiguous,204.32330000000002
Hyderabad,11,Low,Consultant,Mid-Level,8,1105113,1949420,PhD,"AWS, Docker, Kubernetes",None,21,6,Day,Yes,Offline,Infosys,Healthcare,Negative,6,Low,1418143,159666,Below Average,Senior-Level,Developer,Chennai,Yes,Flexible Hours,Limited,Strong,Low,2024-12-07 14:11:33.008200,Ambiguous,205.27143333333333
Bangalore,32,High,Consultant,Mid-Level,1,666008,2475915,Diploma,"C++, Algorithms",PMP,64,8,Day,Yes,Hybrid,Accenture,Banking,Negative,3,Moderate,2287145,461598,Average,Lead,Data Analyst,Pune,Yes,Stock Options,Excellent,Strong,Moderate,2025-01-17 14:11:33.008200,Ambiguous,262.23816666666664
Munger,18,Medium,Data Scientist,Entry-Level,5,1233396,1047341,Bachelor's Degree,"Java, Spring Boot",Google Cloud Certified,83,9,Day,Yes,Remote,TCS,IT Services,Neutral,4,High,2497711,17399,Above Average,Senior-Level,Manager,Bangalore,Yes,Flexible Hours,Moderate,Weak,Low,2024-12-07 14:11:33.008200,Clear,177.25703333333334
Delhi,35,Low,Consultant,Entry-Level,7,1133731,1920982,PhD,"Java, Spring Boot",Scrum Master,21,6,Night,No,Offline,Accenture,Consulting,Negative,9,High,2301257,136812,Above Average,Entry-Level,Developer,Darbhanga,Yes,Stock Options,Limited,Stable,Moderate,2025-01-14 14:11:33.008200,Ambiguous,146.70856666666668
Hyderabad,23,Medium,Analyst,Senior-Level,12,1365649,2487342,Master's Degree,"AWS, Docker, Kubernetes",AWS Certified,10,5,Day,Yes,Remote,HCL,Healthcare,Negative,4,Moderate,437361,428333,Average,Entry-Level,Data Analyst,Delhi,No,Flexible Hours,Limited,Stable,Low,2025-01-21 14:11:33.008200,Ambiguous,258.5787
Munger,20,Medium,Data Scientist,Senior-Level,4,1903546,1601838,Master's Degree,"C++, Algorithms",PMP,76,0,Night,Yes,Hybrid,Accenture,Banking,Neutral,0,Low,2857856,108662,Above Average,Entry-Level,Developer,Mumbai,Yes,Health Insurance,Excellent,Strong,Low,2024-12-11 14:11:33.008200,Clear,305.26186666666666
Bangalore,9,Low,Analyst,Entry-Level,13,1053158,685521,Bachelor's Degree,"Java, Spring Boot",PMP,2,1,Night,Yes,Hybrid,Cognizant,Retail,Positive,5,High,2161856,305761,Above Average,Entry-Level,Manager,Bangalore,No,Stock Options,Excellent,Weak,Low,2025-01-24 14:11:33.008200,Ambiguous,374.0618666666667
Madanapalle,39,High,Software Engineer,Senior-Level,4,1756081,1387073,Master's Degree,"Java, Spring Boot",None,8,0,Day,Yes,Hybrid,TCS,IT Services,Neutral,8,High,2741102,148570,Average,Mid-Level,Developer,Pune,No,Health Insurance,Excellent,Stable,High,2024-12-28 14:11:33.008200,Clear,373.3700666666667
Pune,16,High,Analyst,Entry-Level,4,415359,1486787,Diploma,"C++, Algorithms",Google Cloud Certified,59,8,Flexible,Yes,Offline,Cognizant,Consulting,Neutral,1,Low,400037,374970,Above Average,Entry-Level,Data Analyst,Darbhanga,Yes,Flexible Hours,Excellent,Stable,Low,2025-01-01 14:11:33.008200,Ambiguous,191.33456666666666
Hyderabad,29,Low,Software Engineer,Lead,12,1225431,613981,PhD,"JavaScript, React",None,75,9,Flexible,Yes,Remote,HCL,IT Services,Neutral,6,Moderate,703564,258304,Average,Lead,Data Analyst,Bangalore,No,Flexible Hours,Moderate,Strong,Low,2024-12-12 14:11:33.008200,Clear,325.45213333333334
Kolkata,25,High,Software Engineer,Mid-Level,6,366707,1180926,Diploma,"Java, Spring Boot",None,86,9,Flexible,No,Offline,TCS,Retail,Neutral,5,High,1021531,401995,Above Average,Entry-Level,Developer,Darbhanga,No,Health Insurance,Moderate,Weak,Moderate,2025-01-07 14:11:33.008200,Clear,264.05103333333335
Madanapalle,40,Low,Analyst,Mid-Level,7,551351,2495588,Diploma,"Python, SQL, ML",Google Cloud Certified,13,8,Night,No,Offline,Infosys,Consulting,Positive,4,Low,2457632,383221,Average,Senior-Level,Data Analyst,Pune,No,Flexible Hours,Excellent,Strong,Low,2025-01-23 14:11:33.008200,Ambiguous,401.92106666666666
Pune,27,Low,Data Scientist,Senior-Level,2,770670,410651,Master's Degree,"C++, Algorithms",AWS Certified,17,6,Night,Yes,Hybrid,Accenture,Retail,Negative,3,Low,1053668,322768,Above Average,Lead,Developer,Bangalore,Yes,Health Insurance,Limited,Stable,Low,2024-12-17 14:11:33.008200,Clear,121.12226666666666
Darbhanga,20,Low,Consultant,Entry-Level,5,1587087,1265363,Diploma,"Java, Spring Boot",None,72,12,Night,No,Remote,Cognizant,IT Services,Neutral,3,High,1103645,281772,Above Average,Senior-Level,Data Analyst,Madanapalle,No,Flexible Hours,Excellent,Weak,High,2024-12-16 14:11:33.008200,Ambiguous,316.78816666666665
Mumbai,43,High,Consultant,Entry-Level,4,1584294,837625,Master's Degree,"AWS, Docker, Kubernetes",None,22,1,Day,Yes,Hybrid,HCL,Banking,Positive,5,Moderate,1117368,403545,Average,Senior-Level,Developer,Hyderabad,No,Flexible Hours,Limited,Strong,Moderate,2025-01-22 14:11:33.008200,Clear,281.24559999999997
Chennai,49,Low,Software Engineer,Senior-Level,14,1938292,1598734,PhD,"Python, SQL, ML",PMP,73,5,Night,Yes,Offline,Infosys,IT Services,Negative,3,High,1705927,310763,Above Average,Mid-Level,Developer,Pune,Yes,Stock Options,Limited,Stable,High,2025-01-14 14:11:33.008200,Ambiguous,98.86423333333333
Kolkata,46,Medium,Software Engineer,Entry-Level,13,350601,1772070,PhD,"Java, Spring Boot",Google Cloud Certified,82,10,Day,Yes,Hybrid,Accenture,IT Services,Negative,4,Low,1185838,17032,Average,Mid-Level,Developer,Chennai,No,Health Insurance,Limited,Strong,High,2025-01-09 14:11:33.008200,Ambiguous,277.5279333333333
Darbhanga,43,High,Data Scientist,Lead,3,1294969,1876402,Diploma,"Python, SQL, ML",Scrum Master,46,3,Day,Yes,Remote,Infosys,IT Services,Negative,5,High,993975,189166,Average,Senior-Level,Team Lead,Chennai,No,Flexible Hours,Moderate,Strong,High,2025-01-06 14:11:33.008200,Clear,307.1325
Bangalore,18,High,Project Manager,Mid-Level,7,1744331,655948,Bachelor's Degree,"Python, SQL, ML",AWS Certified,68,0,Flexible,Yes,Hybrid,Accenture,Healthcare,Neutral,4,Moderate,1258379,310178,Above Average,Senior-Level,Data Analyst,Delhi,No,Health Insurance,Limited,Strong,Low,2024-12-18 14:11:33.008200,Ambiguous,335.94596666666666
Darbhanga,35,High,Analyst,Senior-Level,11,795479,1970057,Master's Degree,"JavaScript, React",AWS Certified,46,0,Flexible,No,Remote,TCS,Retail,Neutral,6,Low,2682373,112658,Below Average,Entry-Level,Manager,Munger,No,Stock Options,Limited,Weak,High,2025-01-19 14:11:33.008200,Ambiguous,269.41243333333335
Mumbai,9,High,Software Engineer,Senior-Level,12,1984351,1261069,Master's Degree,"Python, SQL, ML",Google Cloud Certified,86,11,Flexible,No,Remote,Infosys,Retail,Negative,8,Moderate,2950552,393267,Above Average,Lead,Developer,Chennai,No,Health Insurance,Moderate,Stable,High,2024-12-22 14:11:33.008200,Ambiguous,400.3517333333333
Bangalore,39,Medium,Consultant,Entry-Level,6,1812760,1919825,Diploma,"JavaScript, React",PMP,29,4,Day,No,Hybrid,Infosys,Retail,Negative,9,High,1252224,358302,Below Average,Entry-Level,Team Lead,Munger,Yes,Stock Options,Limited,Stable,Moderate,2025-01-13 14:11:33.008200,Clear,103.74080000000001
Kolkata,27,High,Data Scientist,Senior-Level,14,1762436,1256626,Master's Degree,"C++, Algorithms",PMP,24,11,Day,No,Offline,Infosys,Healthcare,Negative,6,High,2792735,65264,Below Average,Mid-Level,Manager,Madanapalle,No,Health Insurance,Limited,Stable,Moderate,2024-12-09 14:11:33.008200,Clear,329.09116666666665
Mumbai,33,High,Analyst,Lead,7,1760537,1263349,Master's Degree,"JavaScript, React",Google Cloud Certified,27,1,Day,Yes,Hybrid,TCS,Banking,Negative,6,Moderate,1624322,104120,Above Average,Mid-Level,Developer,Pune,Yes,Health Insurance,Excellent,Stable,Moderate,2024-12-08 14:11:33.008200,Ambiguous,198.14406666666667
Munger,47,Low,Data Scientist,Entry-Level,5,551924,1554424,Bachelor's Degree,"AWS, Docker, Kubernetes",PMP,24,3,Night,No,Offline,HCL,IT Services,Negative,3,High,1761968,57850,Below Average,Entry-Level,Manager,Darbhanga,No,Stock Options,Limited,Weak,Moderate,2024-12-11 14:11:33.008200,Ambiguous,214.73226666666667
Chennai,15,High,Analyst,Entry-Level,13,1083441,506022,Bachelor's Degree,"Java, Spring Boot",AWS Certified,73,0,Day,Yes,Offline,Accenture,Banking,Negative,0,Moderate,1100731,14722,Average,Lead,Team Lead,Delhi,Yes,Flexible Hours,Limited,Strong,High,2024-12-17 14:11:33.008200,Clear,186.69103333333334
Kolkata,22,Medium,Analyst,Entry-Level,6,1871970,1861331,Diploma,"C++, Algorithms",AWS Certified,77,3,Flexible,No,Hybrid,Infosys,Healthcare,Positive,7,High,2202218,289916,Average,Senior-Level,Manager,Hyderabad,Yes,Flexible Hours,Limited,Stable,Moderate,2024-12-31 14:11:33.008200,Clear,169.40726666666666
Munger,16,Medium,Software Engineer,Entry-Level,5,549430,1180741,Bachelor's Degree,"C++, Algorithms",Scrum Master,57,10,Flexible,No,Offline,TCS,Retail,Negative,3,Moderate,2141233,358249,Below Average,Entry-Level,Developer,Mumbai,Yes,Flexible Hours,Limited,Weak,Low,2025-01-10 14:11:33.008200,Ambiguous,139.37443333333334
Pune,13,Medium,Data Scientist,Lead,14,1776313,2295066,Diploma,"AWS, Docker, Kubernetes",Google Cloud Certified,40,5,Day,No,Offline,HCL,IT Services,Neutral,0,Moderate,959031,444895,Average,Mid-Level,Manager,Munger,No,Health Insurance,Limited,Strong,High,2025-01-10 14:11:33.008200,Clear,335.96770000000004
Kolkata,14,Medium,Data Scientist,Entry-Level,7,1471364,870529,PhD,"JavaScript, React",None,24,9,Day,No,Hybrid,Accenture,Consulting,Neutral,4,Low,2696976,471987,Above Average,Lead,Manager,Hyderabad,No,Health Insurance,Moderate,Weak,Moderate,2024-12-28 14:11:33.008200,Clear,341.8992
Pune,48,High,Consultant,Senior-Level,2,1970103,561445,Diploma,"Java, Spring Boot",None,77,3,Flexible,Yes,Hybrid,TCS,Consulting,Neutral,7,Low,1649699,14576,Average,Mid-Level,Developer,Delhi,No,Flexible Hours,Limited,Weak,High,2025-01-12 14:11:33.008200,Ambiguous,208.98996666666667
Bangalore,21,High,Consultant,Lead,14,1899792,624605,PhD,"JavaScript, React",Scrum Master,47,0,Day,No,Hybrid,Accenture,Banking,Negative,3,Moderate,2519228,167779,Below Average,Lead,Team Lead,Delhi,No,Health Insurance,Limited,Stable,Moderate,2024-12-28 14:11:33.008200,Clear,331.97426666666667
Munger,42,Medium,Software Engineer,Mid-Level,11,580466,1084029,Diploma,"Python, SQL, ML",Scrum Master,9,6,Flexible,No,Offline,Infosys,Retail,Neutral,7,High,641424,371548,Above Average,Lead,Team Lead,Chennai,No,Health Insurance,Moderate,Stable,High,2024-12-17 14:11:33.008200,Clear,257.3808
Chennai,11,Medium,Software Engineer,Mid-Level,5,750930,1543051,Master's Degree,"JavaScript, React",PMP,74,13,Night,Yes,Remote,HCL,Consulting,Positive,7,High,606384,444848,Average,Lead,Manager,Hyderabad,Yes,Flexible Hours,Moderate,Strong,Moderate,2025-01-07 14:11:33.008200,Clear,208.21280000000002
Mumbai,17,High,Project Manager,Senior-Level,6,1698616,910370,Bachelor's Degree,"C++, Algorithms",Scrum Master,10,1,Flexible,Yes,Offline,TCS,Banking,Negative,2,High,2747851,51476,Above Average,Entry-Level,Data Analyst,Bangalore,Yes,Stock Options,Limited,Strong,Low,2025-01-10 14:11:33.008200,Ambiguous,237.59503333333333
Delhi,44,Medium,Consultant,Senior-Level,6,1410868,2152374,PhD,"Java, Spring Boot",Scrum Master,84,8,Night,No,Remote,HCL,Healthcare,Neutral,8,Moderate,544938,258292,Below Average,Entry-Level,Manager,Kolkata,Yes,Health Insurance,Limited,Stable,Moderate,2025-01-06 14:11:33.008200,Clear,70.16460000000001
Darbhanga,46,Low,Analyst,Lead,5,853343,620972,Diploma,"JavaScript, React",None,20,12,Day,Yes,Hybrid,Infosys,Banking,Positive,2,Moderate,2660529,433501,Average,Entry-Level,Data Analyst,Delhi,No,Health Insurance,Limited,Weak,High,2025-01-20 14:11:33.008200,Ambiguous,246.6843
Madanapalle,13,Medium,Data Scientist,Mid-Level,10,605035,2141373,Bachelor's Degree,"Java, Spring Boot",PMP,85,2,Day,Yes,Remote,HCL,Banking,Positive,0,Moderate,1379907,296298,Above Average,Lead,Manager,Munger,No,Health Insurance,Excellent,Stable,High,2024-12-14 14:11:33.008200,Clear,379.9969
Chennai,31,Medium,Software Engineer,Mid-Level,7,1954776,608944,Diploma,"Java, Spring Boot",Scrum Master,44,7,Night,Yes,Hybrid,HCL,Banking,Neutral,1,Moderate,613968,423270,Above Average,Lead,Team Lead,Mumbai,Yes,Health Insurance,Excellent,Strong,Low,2024-12-26 14:11:33.008200,Clear,208.4656
Munger,6,Low,Data Scientist,Mid-Level,10,1701256,1392382,Bachelor's Degree,"Python, SQL, ML",Scrum Master,6,12,Day,No,Hybrid,Cognizant,IT Services,Positive,5,Low,788388,289309,Average,Mid-Level,Manager,Mumbai,No,Stock Options,Limited,Weak,High,2025-01-17 14:11:33.008200,Ambiguous,264.2796
Delhi,9,Low,Data Scientist,Mid-Level,8,568448,2091870,Bachelor's Degree,"Python, SQL, ML",PMP,80,7,Night,Yes,Remote,HCL,Banking,Neutral,9,Moderate,694957,24439,Above Average,Senior-Level,Manager,Madanapalle,No,Flexible Hours,Moderate,Weak,Low,2025-01-09 14:11:33.008200,Ambiguous,285.16523333333333
Chennai,33,High,Project Manager,Mid-Level,7,1880209,1761303,Diploma,"C++, Algorithms",Google Cloud Certified,63,2,Day,No,Hybrid,Accenture,Banking,Positive,1,High,2301737,390355,Above Average,Entry-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Limited,Weak,High,2024-12-10 14:11:33.008200,Ambiguous,110.72456666666666
Munger,41,High,Consultant,Entry-Level,5,1508948,407461,PhD,"AWS, Docker, Kubernetes",PMP,63,3,Flexible,No,Remote,TCS,IT Services,Negative,5,Low,1378190,54518,Below Average,Lead,Team Lead,Chennai,Yes,Flexible Hours,Moderate,Stable,High,2024-12-24 14:11:33.008200,Ambiguous,133.93966666666665
Hyderabad,42,Low,Software Engineer,Senior-Level,1,1241763,872501,PhD,"Java, Spring Boot",None,1,1,Day,No,Hybrid,Cognizant,IT Services,Negative,0,High,1190944,229123,Below Average,Mid-Level,Data Analyst,Bangalore,No,Health Insurance,Moderate,Stable,Low,2024-12-10 14:11:33.008200,Clear,275.6981333333333
Hyderabad,23,Low,Data Scientist,Entry-Level,13,391006,1597162,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,75,3,Flexible,No,Offline,TCS,Healthcare,Negative,0,Moderate,2747855,36962,Below Average,Mid-Level,Manager,Chennai,No,Stock Options,Moderate,Strong,High,2024-12-26 14:11:33.008200,Ambiguous,405.59516666666667
Pune,12,High,Software Engineer,Mid-Level,5,429350,1446161,Bachelor's Degree,"C++, Algorithms",AWS Certified,41,10,Flexible,Yes,Offline,TCS,Retail,Negative,4,Low,1864458,457150,Below Average,Mid-Level,Developer,Mumbai,Yes,Flexible Hours,Limited,Weak,High,2024-12-15 14:11:33.008200,Ambiguous,138.1486
Chennai,49,Medium,Analyst,Lead,10,988725,894178,Master's Degree,"Java, Spring Boot",PMP,81,10,Night,No,Hybrid,Infosys,Consulting,Negative,9,Moderate,1596278,249157,Below Average,Entry-Level,Manager,Darbhanga,No,Stock Options,Limited,Weak,Low,2024-12-22 14:11:33.008200,Ambiguous,205.20926666666668
Hyderabad,5,Low,Project Manager,Lead,2,1105878,2402348,Master's Degree,"Java, Spring Boot",None,53,10,Day,Yes,Hybrid,Infosys,Consulting,Neutral,8,Low,2615059,309907,Below Average,Entry-Level,Manager,Mumbai,Yes,Health Insurance,Moderate,Stable,Moderate,2025-01-01 14:11:33.008200,Clear,247.16863333333333
Munger,26,High,Analyst,Mid-Level,13,1088768,2179685,Diploma,"AWS, Docker, Kubernetes",Google Cloud Certified,74,13,Night,No,Remote,Cognizant,Banking,Negative,7,High,2702743,126189,Average,Senior-Level,Data Analyst,Delhi,Yes,Stock Options,Excellent,Strong,Low,2025-01-13 14:11:33.008200,Clear,288.0914333333333
Pune,21,Medium,Software Engineer,Mid-Level,5,506487,2297501,Diploma,"JavaScript, React",PMP,15,8,Day,Yes,Offline,Infosys,Healthcare,Negative,2,Moderate,793852,120290,Below Average,Mid-Level,Developer,Hyderabad,Yes,Stock Options,Excellent,Strong,High,2024-12-31 14:11:33.008200,Ambiguous,234.46173333333334
Munger,11,Low,Software Engineer,Lead,5,397852,960315,Diploma,"Python, SQL, ML",Scrum Master,17,1,Flexible,No,Remote,Infosys,Banking,Negative,2,Moderate,1385461,467310,Above Average,Entry-Level,Developer,Hyderabad,No,Health Insurance,Excellent,Weak,Moderate,2024-12-10 14:11:33.008200,Ambiguous,344.1820333333333
Pune,29,Medium,Consultant,Entry-Level,2,1840668,2335135,Bachelor's Degree,"JavaScript, React",PMP,58,11,Flexible,Yes,Hybrid,Infosys,Consulting,Negative,0,Low,2037455,382958,Average,Mid-Level,Data Analyst,Delhi,Yes,Health Insurance,Moderate,Stable,Moderate,2025-01-16 14:11:33.008200,Ambiguous,179.91516666666666
Chennai,49,High,Data Scientist,Entry-Level,5,1487169,1073218,Diploma,"AWS, Docker, Kubernetes",AWS Certified,89,11,Day,No,Hybrid,TCS,IT Services,Positive,2,Low,1916608,291608,Above Average,Lead,Team Lead,Delhi,Yes,Flexible Hours,Limited,Weak,Moderate,2025-01-20 14:11:33.008200,Ambiguous,65.88693333333333
Delhi,8,Low,Data Scientist,Mid-Level,13,1027067,1003291,Diploma,"Python, SQL, ML",PMP,15,12,Day,No,Remote,Cognizant,Retail,Negative,0,Moderate,2206423,445252,Below Average,Mid-Level,Developer,Mumbai,No,Health Insurance,Moderate,Stable,Low,2025-01-16 14:11:33.008200,Clear,377.54743333333334
Mumbai,40,Medium,Analyst,Entry-Level,4,978841,1107755,Bachelor's Degree,"JavaScript, React",Google Cloud Certified,5,2,Night,Yes,Hybrid,TCS,Healthcare,Negative,7,Low,2350408,133980,Below Average,Senior-Level,Developer,Hyderabad,Yes,Flexible Hours,Excellent,Strong,Moderate,2025-01-13 14:11:33.008200,Ambiguous,248.34693333333334
Kolkata,10,Low,Project Manager,Lead,1,580618,1779390,Bachelor's Degree,"Python, SQL, ML",Google Cloud Certified,56,14,Day,No,Offline,Accenture,IT Services,Neutral,0,Moderate,1027915,237021,Above Average,Entry-Level,Data Analyst,Hyderabad,No,Stock Options,Limited,Weak,Moderate,2024-12-25 14:11:33.008200,Clear,264.2638333333333
Delhi,35,Medium,Data Scientist,Entry-Level,3,1526408,1434262,PhD,"Java, Spring Boot",PMP,46,10,Day,No,Remote,TCS,Retail,Positive,4,Low,1576957,174342,Above Average,Lead,Team Lead,Pune,No,Stock Options,Moderate,Weak,Moderate,2024-12-20 14:11:33.008200,Ambiguous,262.56523333333337
Bangalore,23,High,Consultant,Mid-Level,1,1142150,415434,Diploma,"JavaScript, React",Google Cloud Certified,47,10,Day,No,Offline,Accenture,Healthcare,Neutral,8,High,1806427,52299,Above Average,Entry-Level,Team Lead,Hyderabad,No,Flexible Hours,Moderate,Weak,High,2024-12-27 14:11:33.008200,Ambiguous,294.21423333333337
Munger,48,High,Analyst,Lead,12,1655349,1119407,Diploma,"Python, SQL, ML",Scrum Master,41,14,Night,Yes,Offline,HCL,Healthcare,Negative,6,Low,2245786,226877,Average,Lead,Manager,Delhi,Yes,Health Insurance,Excellent,Strong,Low,2024-12-21 14:11:33.008200,Clear,228.85953333333333
Bangalore,43,Low,Analyst,Entry-Level,11,345232,737913,Diploma,"Python, SQL, ML",PMP,75,3,Day,No,Offline,HCL,Consulting,Neutral,3,High,2368188,41541,Below Average,Mid-Level,Manager,Madanapalle,Yes,Health Insurance,Moderate,Weak,Low,2024-12-09 14:11:33.008200,Ambiguous,122.9396
Delhi,31,Medium,Consultant,Senior-Level,5,648688,2496952,PhD,"Python, SQL, ML",Scrum Master,59,4,Flexible,No,Remote,Accenture,IT Services,Neutral,8,Low,436382,345689,Above Average,Mid-Level,Data Analyst,Bangalore,No,Stock Options,Limited,Strong,High,2025-01-12 14:11:33.008200,Ambiguous,282.54606666666666
Pune,14,Low,Project Manager,Lead,4,760385,728821,Diploma,"JavaScript, React",Scrum Master,76,0,Night,Yes,Hybrid,Accenture,Healthcare,Negative,8,Low,1262219,485759,Below Average,Senior-Level,Team Lead,Darbhanga,No,Flexible Hours,Excellent,Stable,Moderate,2025-01-25 14:11:33.008200,Ambiguous,374.07396666666665
Kolkata,30,Low,Consultant,Lead,7,1083301,2101243,PhD,"C++, Algorithms",None,3,6,Night,Yes,Offline,TCS,Healthcare,Positive,1,Moderate,1471917,233070,Above Average,Senior-Level,Data Analyst,Delhi,No,Stock Options,Excellent,Strong,High,2025-01-21 14:11:33.008200,Ambiguous,389.0639
Kolkata,23,Medium,Project Manager,Senior-Level,5,612813,2212375,Master's Degree,"JavaScript, React",PMP,1,13,Flexible,Yes,Offline,Accenture,Retail,Positive,9,Low,2118303,139188,Below Average,Lead,Manager,Hyderabad,Yes,Stock Options,Limited,Stable,High,2024-12-22 14:11:33.008200,Clear,164.6101
